username, created_at, lng, lat, text
aqua_rell, Mon Jan 25 05:39:21 +0000 2021, -84.574202, 33.392508, Can confirm the President is a human again 
anyway0jffg, Mon Jan 25 05:39:21 +0000 2021, -82.665911, 28.300058, @ChuckGrassley Look at your calendar 
AngelBeingAngel, Mon Jan 25 05:39:21 +0000 2021, -73.948775, 40.655138, @KeithKill I kept saying he's not a PG but a hybrid combo guard. I kept saying that there is a reason that Maxey st… https://t.co/MqhIauPezk 
gravemorgan, Mon Jan 25 05:39:21 +0000 2021, -122.630908, 45.536402, @AdamDerivative Bwhahaha 
BeckyOrellana2, Mon Jan 25 05:39:21 +0000 2021, -118.411907, 34.020789, Only Naydien can make me realize why I dated ANY of my exes 😂 like they’re all great individuals but I truly wasn’t… https://t.co/vKDLiPaOTg 
Nakid_Magazine, Mon Jan 25 05:39:22 +0000 2021, -80.117510, 25.999390, Just posted a photo @ NAKID Magazine https://t.co/xvI6EdX4kz 
therealbenana, Mon Jan 25 05:39:22 +0000 2021, -123.176320, 49.194650, I can’t believe my luck. On one of my last days as a #WestJetter, I get to see this beauty again and be around all… https://t.co/fJwT3lEtgP 
BryanVanNorden, Mon Jan 25 05:39:22 +0000 2021, -74.007413, 41.055547, They use the phrase "high IQ" as a brag or compliment. 
Killa__Kev, Mon Jan 25 05:39:22 +0000 2021, -90.276813, 38.755407, 🥶 https://t.co/uLko4oycOt 
KarlxMandik, Mon Jan 25 05:39:22 +0000 2021, -111.858398, 33.639340, For those that need a common ground for the #NFL👉Turning pain into greatness on &amp; off the gridiron! Crass? Uncens… https://t.co/wMP64AC1zQ 
the2ndGreatestt, Mon Jan 25 05:39:22 +0000 2021, -118.411907, 34.020789, in other words this is a goal for me no matter how i look 
tayyylor01, Mon Jan 25 05:39:22 +0000 2021, -95.547269, 30.706088, @bbaileymadds hope you’re okay 
lunchbox6294, Mon Jan 25 05:39:22 +0000 2021, -118.411907, 34.020789, @SlutMarquette Do you anal sex 
BarbaraAnneLew2, Mon Jan 25 05:39:22 +0000 2021, -83.804475, 27.698682, @neiltyson I think if I were a man, this conversation would make mefeel uncomfortable.. 
StefaniVSJ, Mon Jan 25 05:39:22 +0000 2021, -80.162128, 25.985174, @chofiferraro TOTAAAL 
xRevvs, Mon Jan 25 05:39:22 +0000 2021, -123.196980, 44.854287, I think a lot of people are getting unfollowed tonight 
KTPrepElite, Mon Jan 25 05:39:23 +0000 2021, -121.941580, 37.758225, @BrandonHuffman Hate this common core stuff smh 
db_hefner, Mon Jan 25 05:39:23 +0000 2021, -89.922029, 35.133521, Preferably yt male/female mid to late 40s early 50s 🤝 
JaniceNightowl, Mon Jan 25 05:39:23 +0000 2021, -93.606369, 41.576437, @LouGarza86 Or stronger, more physically fit? 
staterdoc7, Mon Jan 25 05:39:23 +0000 2021, -97.845505, 30.295549, Looks like you got your history lessons at trump university what a jerk 
whatupGQ, Mon Jan 25 05:39:23 +0000 2021, -118.346153, 33.953633, mfs want long and happy relationship but don’t know the difference between a conversation and argument smh 
bconnor91, Mon Jan 25 05:39:24 +0000 2021, -88.428410, 41.379439, @hilaryluros Getting rid of these trumpers be like https://t.co/ZC1XTUQgAD 
eyesockisme, Mon Jan 25 05:39:24 +0000 2021, -117.239779, 33.184921, @KillaSwank Ahahaha 
TheDirtJohnson, Mon Jan 25 05:39:24 +0000 2021, -122.630908, 45.536402, Ugly 2nd half, but this time without Nurk &amp; CJ is just about keeping their heads above water. Damian Lillard takeov… https://t.co/Skyoy5qBCM 
CesarAbaena, Mon Jan 25 05:39:24 +0000 2021, -111.823723, 25.550041, Olor a Cheetos 🥺🥰 
Lucy__Monroe, Mon Jan 25 05:39:24 +0000 2021, -80.926628, 33.631140, And after they do that they will still wonder why you treating them different 🤦🏻‍♀️ 
Franksauce_, Mon Jan 25 05:39:24 +0000 2021, -118.076746, 33.907251, I can’t help it if I wanted to , wouldn’t help it even if I could 🎵 
rcmoya84, Mon Jan 25 05:39:24 +0000 2021, -118.411907, 34.020789, My God 
diorxbri, Mon Jan 25 05:39:24 +0000 2021, -96.554741, 29.704056, IM FINNA FUCKING DIEEEEEE I JUST HIT A CAT 
BloggedByRain, Mon Jan 25 05:39:24 +0000 2021, -84.433106, 33.767195, Poverty sucks. These guys are in the streets due to poverty and they start rapping to change their lives and due to… https://t.co/EIC5EvqjPs 
juuanjose70, Mon Jan 25 05:39:24 +0000 2021, -100.168717, 25.778679, @Alisola16 Motelazo 
AlondraCaylen, Mon Jan 25 05:39:25 +0000 2021, -118.163276, 34.685827, ima fake it till i make it 
AyyKayy_Kayy7, Mon Jan 25 05:39:25 +0000 2021, -121.300425, 37.980826, I feel like the only weirdo in my family who likes eating frozen fruit like candy 🥴 
LottineN, Mon Jan 25 05:39:25 +0000 2021, -73.968542, 40.780709, Yes please 
RiahRARELYhere, Mon Jan 25 05:39:25 +0000 2021, -100.076888, 31.168893, @6100Tres_ Just bein honest 🤣🤣🤣🤣 
lbazorro, Mon Jan 25 05:39:25 +0000 2021, -80.149173, 26.150368, @fred_guttenberg @mtgreenee Sorry, I just stopped bcs there wasn't enough room &amp; had to retweet her bcs I, as a par… https://t.co/3Q4xCBWbGK 
GangstaTrell__, Mon Jan 25 05:39:25 +0000 2021, -87.732013, 41.833585, Well call me Leonardo Da Vinci 😋 
sogongdonghi, Mon Jan 25 05:39:25 +0000 2021, -157.799589, 21.319944, #온라인오더 #onlineorder 
Drexism, Mon Jan 25 05:39:25 +0000 2021, -73.831187, 40.670879, Uhhmmm.... @IQ_GodSon 🤷🏽‍♂️🤷🏽‍♂️🤷🏽‍♂️🤷🏽‍♂️🤷🏽‍♂️🤷🏽‍♂️🤷🏽‍♂️ #NewYorkForever 
hoppysue, Mon Jan 25 05:39:25 +0000 2021, -93.360600, 44.895222, @yankees1958 💓 
Makyle_Ice, Mon Jan 25 05:39:25 +0000 2021, -75.117998, 40.004866, Free Trey 
OchoaInc, Mon Jan 25 05:39:26 +0000 2021, -115.135165, 36.060964, @lonelyandblue_ @destojeda @N0LiFE__ 👇 https://t.co/67NKYTI385 
menaceinvelvet, Mon Jan 25 05:39:26 +0000 2021, -82.442694, 27.996595, a grown man tweeted this 
donaldrwinslow, Mon Jan 25 05:39:26 +0000 2021, -100.076888, 31.168893, @Amy_Siskind Except that they don’t fucking care. Long overdue for a regime change across the masthead @nytimes and… https://t.co/IZ9hklKey9 
datsunian, Mon Jan 25 05:39:26 +0000 2021, -118.408990, 34.006012, @rushiparikh11 @NidaQadirMD I’ve heard it called a bunch of other things when you realize you forgot to put it on a… https://t.co/x1POIN2Yrm 
brita313, Mon Jan 25 05:39:26 +0000 2021, -100.076888, 31.168893, @takitakirooomba 💀💀💀💀💀💀💀💀💀 bitch stap😂😂😂💀💀💀 
Tessie_mxlti, Mon Jan 25 05:39:26 +0000 2021, -115.133373, 36.249124, i think about      →            i wanna see Kiocry             kiocry… https://t.co/Qa9Q4Rn0AP 
EllenKuwana, Mon Jan 25 05:39:26 +0000 2021, -122.330602, 47.614817, @SueBiggins That means a lot bc it’s been at considerable loss of income for me in that the bulk of my time since A… https://t.co/C2PQNTK275 
BrianDBrannon, Mon Jan 25 05:39:26 +0000 2021, -122.040430, 37.893667, @lukewallace Had to read this in its ultimate form. Don’t worry, pre-used paper 🤗 
__knf, Mon Jan 25 05:39:26 +0000 2021, -90.158017, 32.230987, https://t.co/jsTKpNTx2H 
alexandrar615, Mon Jan 25 05:39:27 +0000 2021, -106.417430, 31.793368, My friends been asking me to go out all day and I’ve been so lazy 🥲 
nathanwarmes, Mon Jan 25 05:39:27 +0000 2021, -104.922093, 39.713563, memes of production 
TrademarkJuice, Mon Jan 25 05:39:28 +0000 2021, -79.857363, 36.090397, Ain’t no way this nigga print patrolling 
BenjaminJurkovi, Mon Jan 25 05:39:28 +0000 2021, -122.096397, 47.992142, I need some more legit Arctic Fraser outflow in my life. This was from January 15th, last year near Lynden, WA.… https://t.co/GgKMRMdvCy 
javiforprez2036, Mon Jan 25 05:39:28 +0000 2021, -104.922093, 39.713563, The unseen world 
JoezMcfLy, Mon Jan 25 05:39:29 +0000 2021, -73.849441, 40.850347, Lmao u stupid 
Clafout82099451, Mon Jan 25 05:39:29 +0000 2021, -122.202078, 37.475218, @90DayFiance I love Amira's dad . He is supportive and even says he loves her but can not lie. I agree with her dad… https://t.co/VfRuUFAAN4 
ChikWik, Mon Jan 25 05:39:29 +0000 2021, -95.562444, 29.623472, @Kreaturefrmda3 @dontrunfefe Bro this not even a debate like dawg Brady has proven why hes the Greatest Player of all time 😂😂 
KeithGrant09, Mon Jan 25 05:39:29 +0000 2021, -84.151150, 33.442425, Packers fans have the right to complain. They were called for PI at the top in the 4th quarter. It was PI btw. Tamp… https://t.co/RQLQSjQqJk 
JulienKaram21, Mon Jan 25 05:39:29 +0000 2021, -73.723025, 45.557830, From 10th last season to 1st 🖤❤️ 
iamA7md, Mon Jan 25 05:39:29 +0000 2021, -82.432361, 28.076861, استغفرالله لكن يضحك 😭😭😭😭😭😂 
Terry47067142, Mon Jan 25 05:39:29 +0000 2021, -98.716992, 35.309047, @WINDOCTORRX @JimW_in_NM Great point 👊 
OneBandwagonFan, Mon Jan 25 05:39:29 +0000 2021, -97.754724, 30.323346, Does anyone know anything about billboards? I'd like to put this up somewhere in North Carolina... 
fjrsatx, Mon Jan 25 05:39:30 +0000 2021, -98.540651, 29.417501, @ScottBaio You know 40 was a star in Hollywood. 
honeyvuee, Mon Jan 25 05:39:30 +0000 2021, -95.057125, 29.665807, @Ewhiturs imma ask again you gone give me money or not ? 🌚 
_LosMan_, Mon Jan 25 05:39:30 +0000 2021, -82.331272, 28.299370, Blazers couldn’t miss in the first half. Fuck it. On to the morman state. 
OscarSolanoo, Mon Jan 25 05:39:30 +0000 2021, -123.123581, 49.257639, Hi https://t.co/UrRv9yogWr 
aWhirlydoodle, Mon Jan 25 05:39:30 +0000 2021, -98.540651, 29.417501, My parents just bought this for my sons birthday 🥳 I bought him Mario Party. I can’t wait to have a day off to play… https://t.co/69Mo8yPVMr 
drivera1964, Mon Jan 25 05:39:30 +0000 2021, -117.947887, 33.924881, @LizbethEden 😳 
DCONN24, Mon Jan 25 05:39:30 +0000 2021, -92.374096, 36.346097, Oh god please no 
Hank42, Mon Jan 25 05:39:30 +0000 2021, -92.436774, 38.304558, This was fun!! #pringle#ChiefsKingdom https://t.co/y29okL69dH 
lambert_richard, Mon Jan 25 05:39:30 +0000 2021, -78.853563, 42.896230, https://t.co/W1SdMufifv 
maniijayy1, Mon Jan 25 05:39:30 +0000 2021, -118.411907, 34.020789, 🧚🏼‍♀️💕 
